state,number of graduates,Population,% graduate
California,1074,37659181.0,0.002851894203434748
California,1503,37659181.0,0.003991058647823488
California,888,37659181.0,0.0023579907380354343
California,7767,37659181.0,0.020624452772884255
California,757,37659181.0,0.0020101339962757024
California,7701,37659181.0,0.020449196704516757
California,13362,37659181.0,0.035481387659492644
California,1209,37659181.0,0.0032103725250955404
California,534,37659181.0,0.0014179809167915787
California,823,37659181.0,0.002185390064643201
California,112,37659181.0,0.0002974042372296944
California,13807,37659181.0,0.03666303842348563
California,577,37659181.0,0.0015321629007279793
California,1869,37659181.0,0.004962933208770525
California,5216,37659181.0,0.01385054019098291
California,514,37659181.0,0.001364873017286276
California,2426,37659181.0,0.006441988209993202
California,11362,37659181.0,0.030170597708962393
California,2494,37659181.0,0.00662255506831123
California,116,37659181.0,0.0003080258171307549
California,2105,37659181.0,0.005589606422933095
California,24020,37659181.0,0.06378258730586839
California,10098,37659181.0,0.02681417846022727
California,20080,37659181.0,0.05332033110332378
California,7864,37659181.0,0.02088202608548497
California,13879,37659181.0,0.03685422686170472
California,18762,37659181.0,0.049820520525924346
California,1112,37659181.0,0.002952799212494823
California,19635,37659181.0,0.052138680339330806
California,8990,37659181.0,0.023872000827633508
California,8525,37659181.0,0.02263724216413522
California,1304,37659181.0,0.0034626350477457274
California,6205,37659181.0,0.01647672582152012
California,594,37659181.0,0.0015773046153074865
California,547,37659181.0,0.0014525010514700252
California,1354,37659181.0,0.003595404796508984
California,896,37659181.0,0.0023792338978375553
California,6077,37659181.0,0.016136835264686185
California,1033,37659181.0,0.0027430230094488777
California,3729,37659181.0,0.009901967862763664
California,745,37659181.0,0.001978269256572521
California,10205,37659181.0,0.027098305722580637
California,5887,37659181.0,0.01563231021938581
California,985,37659181.0,0.002615564050636152
California,14537,37659181.0,0.03860147675542917
California,9130,37659181.0,0.024243756124170623
California,17084,37659181.0,0.04536476775742946
California,9519,37659181.0,0.02527670476954876
California,14206,37659181.0,0.03772254101861642
California,28481,37659181.0,0.07562830429052612
California,2625,37659181.0,0.006970411810070963
California,14170,37659181.0,0.03762694679950687
California,1204,37659181.0,0.0031970955502192144
California,6308,37659181.0,0.01675023150397243
California,696,37659181.0,0.0018481549027845293
California,747,37659181.0,0.001983580046523051
California,509,37659181.0,0.0013515960424099504
California,10074,37659181.0,0.026750448980820903
California,375,37659181.0,0.0009957731157244232
California,1213,37659181.0,0.003220994104996601
California,2128,37659181.0,0.005650680507364194
California,10310,37659181.0,0.027377122194983478
California,21886,37659181.0,0.0581159744286526
California,1032,37659181.0,0.0027403676144736127
California,6939,37659181.0,0.018425785733364727
California,925,37659181.0,0.002456240352120244
California,895,37659181.0,0.0023765785028622903
California,1645,37659181.0,0.004368124734311136
California,3877,37659181.0,0.010294966319102903
California,3253,37659181.0,0.008637999854537464
California,24665,37659181.0,0.0654953170649144
California,25268,37659181.0,0.06709652023499928
California,3538,37659181.0,0.009394787422488025
California,1081,37659181.0,0.002870481968261604
California,370,37659181.0,0.0009824961408480977
California,2556,37659181.0,0.006787189556777669
California,1610,37659181.0,0.004275185910176857
California,3810,37659181.0,0.01011705485576014
California,571,37659181.0,0.0015162305308763886
California,28598,37659181.0,0.07593898550263214
California,3607,37659181.0,0.009578009675781318
California,4938,37659181.0,0.013112340387859205
California,16548,37659181.0,0.04394147605068734
California,18165,37659181.0,0.04823524972569106
California,23509,37659181.0,0.062425680473507904
California,20871,37659181.0,0.0554207485287585
California,16310,37659181.0,0.04330949204657425
California,230,37659181.0,0.0006107408443109796
California,24251,37659181.0,0.06439598354515463
California,11891,37659181.0,0.031575301650877644
California,27099,37659181.0,0.07195854843470972
California,5665,37659181.0,0.015042812534876954
California,478,37659181.0,0.0012692787981767315
California,174,37659181.0,0.0004620387256961323
California,26156,37659181.0,0.0694545109730347
California,6392,37659181.0,0.016973284681894702
California,17629,37659181.0,0.046811958018948954
California,1616,37659181.0,0.0042911182800284475
California,642,37659181.0,0.0017047635741202125
